epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1397,1.61231,3.10697,2.73779,1.39851,0,0.73701,0.16,0.21917,0.09838,0.78307,0.17,0.2441,0.12343,1.6337,2.56589,3.11967,1.57531,0,0.000647059,0.000647059,0.000647059
2,46.9431,1.53987,2.34492,1.87589,1.40279,0,0.15155,0.06,0.07204,0.02533,0.15155,0.06,0.07055,0.03016,1.77575,7.20866,3.19438,2.14504,0,0.00130072,0.00130072,0.00130072
3,54.679,1.60709,2.30665,1.78916,1.4631,0,0.67395,0.39276,0.44153,0.21826,0.67395,0.39276,0.43096,0.24498,1.74433,9.25697,2.19156,2.12638,0,0.00194118,0.00194118,0.00194118
4,64.6375,1.60322,2.31298,1.66628,1.48907,0,0.36499,0.49,0.44816,0.24072,0.35485,0.45102,0.41602,0.25258,1.65726,13.3933,1.95631,1.72721,0,0.0019406,0.0019406,0.0019406
5,75.0661,1.51119,2.15832,1.50779,1.41897,0,0.75407,0.6746,0.67596,0.37687,0.7194,0.64097,0.64274,0.38554,1.52164,3.55859,1.59754,1.46823,0,0.0019208,0.0019208,0.0019208
6,83.4091,1.43194,2.17445,1.45992,1.35668,0,0.62725,0.6563,0.66118,0.3857,0.62725,0.6563,0.66576,0.41043,1.4967,2.49722,2.53576,1.48559,0,0.001901,0.001901,0.001901
7,93.3247,1.45089,2.05092,1.38169,1.36098,0,0.81863,0.65,0.75969,0.41935,0.81713,0.66,0.76185,0.47651,1.47326,2.18093,2.2476,1.42511,0,0.0018812,0.0018812,0.0018812
8,102.562,1.38512,2.00729,1.31563,1.3164,0,0.48338,0.3743,0.36797,0.17294,0.47047,0.3643,0.33579,0.1547,1.72993,4.5803,2.19818,1.61664,0,0.0018614,0.0018614,0.0018614
9,111.472,1.34219,1.9618,1.22288,1.31382,0,0.68993,0.71204,0.70886,0.4105,0.68993,0.71204,0.69948,0.38444,1.43227,2.16137,1.45846,1.43731,0,0.0018416,0.0018416,0.0018416
10,121.58,1.38274,2.00609,1.20013,1.31925,0,0.70999,0.6,0.70092,0.43822,0.72182,0.61,0.69974,0.41224,1.38529,2.14558,1.45182,1.36214,0,0.0018218,0.0018218,0.0018218
11,129.738,1.32893,1.95788,1.18663,1.28873,0,0.26255,0.62662,0.22591,0.13413,0.26255,0.62662,0.22321,0.12607,1.33906,2.18485,2.21363,1.30081,0,0.001802,0.001802,0.001802
12,139.365,1.34019,1.97784,1.19047,1.30621,0,0.50697,0.77,0.50142,0.30342,0.52984,0.76,0.50444,0.26992,1.35322,2.16034,1.3382,1.3135,0,0.0017822,0.0017822,0.0017822
13,149.171,1.2918,1.95499,1.14235,1.27315,0,0.77957,0.75,0.7856,0.44031,0.78071,0.73,0.77451,0.45233,1.46296,2.02128,1.28903,1.40436,0,0.0017624,0.0017624,0.0017624
14,156.899,1.25384,1.91866,1.11672,1.26877,0,0.75834,0.78454,0.8103,0.50841,0.7604,0.78,0.80405,0.48565,1.34144,2.08747,1.21273,1.33916,0,0.0017426,0.0017426,0.0017426
15,166.492,1.25247,1.84656,1.04727,1.25651,0,0.78842,0.75,0.78223,0.48812,0.77723,0.74,0.76967,0.42409,1.38033,2.11077,1.14566,1.34891,0,0.0017228,0.0017228,0.0017228
16,174.965,1.24142,1.87074,1.0335,1.24474,0,0.72999,0.78407,0.79203,0.48898,0.72999,0.78407,0.78381,0.44329,1.32376,2.28455,1.09537,1.29227,0,0.001703,0.001703,0.001703
17,183.992,1.26618,1.86017,1.0653,1.23697,0,0.85094,0.79923,0.8474,0.54128,0.84429,0.78,0.84176,0.50407,1.28362,2.07249,1.02186,1.26264,0,0.0016832,0.0016832,0.0016832
18,193.601,1.19867,1.80126,0.96541,1.21378,0,0.7947,0.77419,0.83523,0.56213,0.79165,0.77,0.82999,0.51573,1.23146,1.97957,0.98903,1.24,0,0.0016634,0.0016634,0.0016634
19,201.335,1.2121,1.78298,0.93831,1.22621,0,0.84692,0.82991,0.84456,0.54703,0.84692,0.82991,0.83807,0.52143,1.24647,2.21469,0.9992,1.22313,0,0.0016436,0.0016436,0.0016436
20,211.209,1.19321,1.80986,0.95554,1.20235,0,0.90101,0.77,0.87034,0.54344,0.90101,0.77,0.86948,0.53288,1.29747,1.88772,0.99639,1.29489,0,0.0016238,0.0016238,0.0016238
21,220.405,1.15729,1.75891,0.92777,1.19573,0,0.77073,0.8,0.82955,0.53004,0.78347,0.79,0.82189,0.52359,1.2834,1.93323,1.08266,1.30083,0,0.001604,0.001604,0.001604
22,228.902,1.12695,1.76136,0.90292,1.18039,0,0.81867,0.81,0.85778,0.55226,0.81154,0.81816,0.85567,0.5042,1.24245,1.92368,1.00106,1.27867,0,0.0015842,0.0015842,0.0015842
23,238.515,1.15732,1.72192,0.88472,1.1879,0,0.91381,0.74218,0.86805,0.53973,0.91381,0.74218,0.86862,0.54424,1.2461,1.99377,1.03048,1.23793,0,0.0015644,0.0015644,0.0015644
24,246.148,1.13499,1.69969,0.90993,1.18555,0,0.79284,0.78,0.83362,0.52147,0.77351,0.76,0.78768,0.49222,1.33632,2.21743,1.01816,1.29744,0,0.0015446,0.0015446,0.0015446
25,255.981,1.13333,1.74027,0.91357,1.17038,0,0.86789,0.75,0.82758,0.5263,0.86789,0.75,0.82068,0.50903,1.32209,2.01877,1.05999,1.3127,0,0.0015248,0.0015248,0.0015248
26,265.691,1.16837,1.76946,0.89765,1.19874,0,0.84648,0.84,0.85354,0.55229,0.82533,0.82,0.83889,0.52555,1.24354,1.86554,0.94537,1.23925,0,0.001505,0.001505,0.001505
27,273.731,1.14742,1.75559,0.88891,1.18932,0,0.84141,0.79584,0.83915,0.5473,0.84141,0.79584,0.83724,0.52271,1.28469,1.96203,0.99966,1.29972,0,0.0014852,0.0014852,0.0014852
28,283.706,1.10013,1.67794,0.84233,1.16572,0,0.89927,0.77,0.85956,0.55216,0.88661,0.79,0.8639,0.56423,1.23161,1.89092,0.93582,1.23989,0,0.0014654,0.0014654,0.0014654
29,291.894,1.18111,1.74783,0.88665,1.21335,0,0.90711,0.7812,0.84492,0.55347,0.90711,0.7812,0.8482,0.52678,1.24412,1.9064,0.98654,1.25903,0,0.0014456,0.0014456,0.0014456
30,301.271,1.14433,1.72381,0.84279,1.18229,0,0.79341,0.80653,0.8508,0.54951,0.78701,0.8,0.84683,0.52586,1.23187,1.96699,0.95367,1.2553,0,0.0014258,0.0014258,0.0014258
31,311.07,1.07611,1.6844,0.83165,1.16164,0,0.87391,0.83175,0.8778,0.56823,0.86344,0.82197,0.86101,0.54773,1.24724,2.12298,0.88319,1.23689,0,0.001406,0.001406,0.001406
32,318.88,1.04069,1.66067,0.80844,1.12721,0,0.89123,0.78,0.872,0.57534,0.9155,0.75843,0.84903,0.50062,1.27019,1.9768,0.93463,1.26829,0,0.0013862,0.0013862,0.0013862
33,328.596,1.07087,1.62406,0.79353,1.13911,0,0.82583,0.77,0.86199,0.54728,0.83656,0.78,0.85223,0.53837,1.24202,1.9371,0.90763,1.24237,0,0.0013664,0.0013664,0.0013664
34,337.309,1.07276,1.71033,0.7751,1.13069,0,0.83674,0.8,0.87661,0.5913,0.83542,0.8122,0.87349,0.56027,1.15959,1.89554,0.8552,1.20992,0,0.0013466,0.0013466,0.0013466
35,346.16,1.0637,1.61783,0.76652,1.1347,0,0.89404,0.75937,0.87057,0.5677,0.89404,0.75937,0.86439,0.55226,1.21404,1.94812,0.86988,1.24531,0,0.0013268,0.0013268,0.0013268
36,356.155,1.04423,1.59705,0.75611,1.09748,0,0.88385,0.8371,0.87313,0.57043,0.88385,0.8371,0.8687,0.55962,1.18789,1.98646,0.9152,1.19079,0,0.001307,0.001307,0.001307
37,364.148,1.04184,1.60627,0.743,1.13176,0,0.86088,0.8,0.88736,0.5935,0.86088,0.8,0.88569,0.54694,1.22522,1.8963,0.83942,1.22784,0,0.0012872,0.0012872,0.0012872
38,373.843,1.06356,1.58003,0.74915,1.12251,0,0.88354,0.81,0.86905,0.56974,0.88354,0.81,0.86275,0.53331,1.26364,1.98831,0.87305,1.23072,0,0.0012674,0.0012674,0.0012674
39,383.156,0.99782,1.5711,0.71792,1.09252,0,0.8601,0.81,0.87114,0.59961,0.85342,0.8,0.85762,0.52668,1.20815,1.88612,0.90886,1.23043,0,0.0012476,0.0012476,0.0012476
40,391.977,1.0097,1.55284,0.73169,1.09736,0,0.86178,0.77,0.8573,0.57284,0.85059,0.76,0.84353,0.52869,1.21525,1.86134,0.88106,1.26507,0,0.0012278,0.0012278,0.0012278
41,401.794,0.99727,1.55121,0.70223,1.09072,0,0.8732,0.8,0.85708,0.57982,0.86067,0.79,0.839,0.54048,1.20938,1.88891,0.88146,1.26625,0,0.001208,0.001208,0.001208
42,409.557,1.02043,1.5173,0.70456,1.10983,0,0.86805,0.78,0.87157,0.57981,0.86805,0.78,0.86314,0.52494,1.21227,1.94521,0.84956,1.22863,0,0.0011882,0.0011882,0.0011882
43,419.273,0.99765,1.48676,0.70603,1.09259,0,0.92701,0.76201,0.86914,0.56389,0.92701,0.76201,0.86483,0.53247,1.25731,1.93315,0.85511,1.24159,0,0.0011684,0.0011684,0.0011684
44,428.992,0.98804,1.49611,0.69992,1.08087,0,0.87166,0.8,0.85168,0.56402,0.87166,0.8,0.8463,0.54643,1.2296,1.92729,0.88631,1.25097,0,0.0011486,0.0011486,0.0011486
45,436.724,1.0004,1.50069,0.68156,1.09287,0,0.86675,0.84565,0.88771,0.56921,0.86675,0.84565,0.87772,0.54556,1.27544,1.97555,0.85438,1.28475,0,0.0011288,0.0011288,0.0011288
46,446.295,1.00382,1.48855,0.68433,1.08882,0,0.88978,0.82,0.88639,0.6006,0.87831,0.81,0.8755,0.55905,1.20408,1.91127,0.8408,1.24068,0,0.001109,0.001109,0.001109
47,454.346,0.97718,1.47614,0.67592,1.07736,0,0.93186,0.74,0.84184,0.55884,0.92498,0.73979,0.84256,0.52901,1.23335,1.95549,0.96774,1.27005,0,0.0010892,0.0010892,0.0010892
48,463.662,0.94855,1.45164,0.63658,1.06085,0,0.87882,0.84,0.87607,0.59007,0.87882,0.84,0.88074,0.55173,1.21871,1.92897,0.83861,1.28392,0,0.0010694,0.0010694,0.0010694
49,473.371,0.97928,1.48692,0.65618,1.09822,0,0.88184,0.82095,0.87726,0.59981,0.88184,0.82095,0.87535,0.53897,1.19209,1.96692,0.8183,1.25794,0,0.0010496,0.0010496,0.0010496
50,481.222,0.96107,1.4736,0.66726,1.07307,0,0.87959,0.80358,0.86541,0.55654,0.86864,0.79358,0.84492,0.52933,1.24277,1.87569,0.87236,1.25029,0,0.0010298,0.0010298,0.0010298
51,491.112,0.92506,1.40263,0.64258,1.05085,0,0.89498,0.78,0.84242,0.57327,0.89498,0.78,0.83525,0.51744,1.14364,1.92738,0.87652,1.20798,0,0.00101,0.00101,0.00101
52,499.776,0.9594,1.46761,0.63958,1.07748,0,0.84308,0.78,0.83893,0.56813,0.84336,0.78,0.82142,0.51074,1.20668,1.95679,0.93954,1.28097,0,0.0009902,0.0009902,0.0009902
53,508.617,0.93795,1.39073,0.63865,1.06108,0,0.92792,0.77247,0.87587,0.56979,0.89742,0.79,0.88047,0.53806,1.22064,1.91268,0.84843,1.24205,0,0.0009704,0.0009704,0.0009704
